SNo,longitude,title,latitude
332,-61.529451,#TBT To one of our stunning sessions for @houseofjaipur. #houseofjaipur #hoj #india #fusion #indian #sari #bollywood #beauty #chrissteel #grace #poise #jordanstudios #profotousa #canonusa #garyjordan #trinidadphotographer #portofspain #trinidadandtobago #,10.663298
333,-79.501949,MEE...(19TEEN)...this was when I went to the Jane/Sheppard library on a Tues. This was 5 yrs ago. #ip4 #teenyears #tbt #torontopubliclibrary #janesheppardlibrary #myreflection #2011,43.730623
334,-80.450299,Dottie has her own employee picture at Dr. Crago's office.,41.242845
335,100.217902,นกปากห่าง,16.785885
336,30.498295,"Лосось на грилі;) _________________________ Ресторан на С.Петлюри, 5, де готують Півня за французьким рецептом;) Резервування +380442463714 Доставка +380442345592 Працювати разом +380678461546 #restaurant #ресторан #ранок #morning #утро #сніданок #breakfa",50.444143
337,85.429354,"One year after the earthquake, Bhaktapur",27.67038
338,100.217902,นกปากห่าง,16.785885
339,100.217902,นกปากห่าง,16.785885
340,106.643589,Siang tadi 😊,-6.304334
341,-73.504727,Throughline,43.750061
342,100.217902,นกปากห่าง,16.785885
343,100.217902,นกปากห่าง,16.785885
344,100.217902,นกปากห่าง,16.785885
345,11.158161,_DSC6200,47.6903
346,117.882458,X Sabar... 😱 #BHAHUBALI...,4.274088
347,-83.720617,Buenos días!,9.135192
348,11.172752,_DSC6233,47.67909
349,11.142883,_DSC6248,47.665219
350,100.217902,นกปากห่าง,16.785885
351,9.153413,DSCF5555b,44.350337
352,100.217902,นกปากห่าง,16.785885
353,11.187171,_DSC6346,47.681171
354,100.217902,นกปากห่าง,16.785885
355,9.153413,DSCF5549b,44.350337
356,11.179103,_DSC6370,47.689838
357,140.881252,朋友們極力推薦仙台牛舌，掙扎很久還是來了，好吃！,38.261223
358,-84.970668,Marching to battle,37.67692
359,9.153735,DSCF5628b,44.349386
360,11.185626,_DSC6379,47.682211
361,15.450373,歐洲票選最美七小鎮之 捷克-特爾曲-薩哈利亞修 廣場！,49.18682
362,-1.8227,2-MSTG : Cessna 510 Citation Mustang : (ex M-USTG),50.771726
363,3.138828,Soleil automnal,50.611567
364,11.172752,_DSC6404,47.689376
365,100.217902,นกปากห่าง,16.785885
366,9.209053,Installazione luminosa,45.442588
367,100.217902,นกปากห่าง,16.785885
368,100.217902,นกปากห่าง,16.785885
369,106.610388,Tuan khang 27/10/2016,10.830319
370,9.153735,DSCF5642b,44.349386
371,-117.668219,Not much to say....,33.454878
372,106.610388,Tuan khang 27/10/2016,10.830319
373,106.61048,Tuan khang 27/10/2016,10.830397
374,106.61048,Tuan khang 27/10/2016,10.830397
375,106.610388,Tuan khang 27/10/2016,10.830319
376,-5.319125,,40.157672
377,-3.70363,"Pero que día más bueno menudo calorcito!! Aprovechad la tarde del Jueves, daos un garbeo por Malasaña y visitad mi exposición en @siriusmadrid (Calle San Vicente Ferrer n° 28 • Malasaña).   #calaveras #calacas #diablitos #criaturillas #halloween #diadelos",40.425808
378,-77.157478,The new Potomac,39.059294
379,106.610388,Tuan khang 27/10/2016,10.830319
380,9.155538,DSCF5606.,44.347468
381,106.610388,Tuan khang 27/10/2016,10.830319
382,106.610388,Tuan khang 27/10/2016,10.830319
383,106.610388,Tuan khang 27/10/2016,10.830319
384,-6.894258,"Lo especial de la #vidaenelcampo es tener el privilegio de presenciar cosas verdaderamente importantes que ocurren cada día en nuestra #Naturaleza, como este parto en un rincón mullido de la #dehesa y poder emocionarte viendo la dedicación de la #oveja al",40.136154
385,106.610388,Tuan khang 27/10/2016,10.830319
386,14.059186,Città Sant'Angelo #05,42.518211
387,106.610388,Tuan khang 27/10/2016,10.830319
